,url_length,path_length,ip_present,number_of_digits,number_of_parameters,number_of_fragments,is_url_encoded,number_encoded_char,number_of_subdirectories,host_length,number_of_periods,has_client,has_admin,has_server,has_login,number_of_dashes,have_at_sign,is_tiny_url,number_of_subdomains_and_extensions,number_of_spaces,number_of_zeros,is_url_single_character_directory,number_of_uppercase,number_of_lowercase,ratio_upper_to_lower,number_of_double_slashes,target
85,25,1,0,0,0,0,False,0,1,17,2,False,False,False,False,0,False,0,2,0,0,0,0,19,0.0,1,0
86,28,1,0,0,0,0,False,0,1,20,2,False,False,False,False,1,False,0,2,0,0,0,0,21,0.0,1,0
87,27,1,0,0,0,0,False,0,1,19,2,False,False,False,False,0,False,0,2,0,0,0,0,21,0.0,1,0
88,25,0,0,0,0,0,False,0,0,18,2,False,False,False,False,0,False,0,2,0,0,0,0,20,0.0,1,0
89,44,21,0,2,0,0,False,0,3,16,3,False,False,False,False,0,False,0,2,0,0,0,0,33,0.0,1,0
90,28,1,0,0,0,0,False,0,1,20,2,False,False,False,False,0,False,0,2,0,0,0,0,22,0.0,1,0
91,26,1,0,0,0,0,False,0,1,18,2,False,False,False,False,0,False,0,2,0,0,0,0,20,0.0,1,0
92,26,0,0,0,0,0,False,0,0,19,2,False,False,False,False,0,False,0,2,0,0,0,0,21,0.0,1,0
93,25,0,0,0,0,0,False,0,0,18,1,False,False,False,False,1,False,0,1,0,0,0,0,20,0.0,1,0
94,27,1,0,0,0,0,False,0,1,19,2,False,False,False,False,0,False,0,2,0,0,0,0,21,0.0,1,0
95,28,1,0,0,0,0,False,0,1,20,2,False,False,False,False,0,False,0,2,0,0,0,0,22,0.0,1,0
96,65,30,0,4,1,0,False,0,2,16,3,False,False,False,False,1,False,0,2,0,0,0,0,49,0.0,1,0
97,28,1,0,0,0,0,False,0,1,20,3,False,False,False,False,0,False,1,3,0,0,0,0,21,0.0,1,0
98,25,1,0,0,0,0,False,0,1,17,2,False,False,False,False,0,False,0,2,0,0,0,0,19,0.0,1,0
99,24,0,0,1,0,0,False,0,0,17,2,False,False,False,False,0,False,0,2,0,0,0,0,18,0.0,1,0
100,32,7,0,0,0,0,False,0,2,18,2,False,False,False,False,0,False,0,2,0,0,0,0,25,0.0,1,0
101,37,18,0,0,0,0,False,0,2,12,3,False,False,False,False,0,False,0,2,0,0,0,0,29,0.0,1,0
102,29,4,0,0,0,0,False,0,1,18,3,False,False,False,False,0,False,0,3,0,0,0,0,22,0.0,1,0
103,23,0,0,0,0,0,False,0,0,16,2,False,False,False,False,0,False,0,2,0,0,0,0,18,0.0,1,0
104,45,21,0,1,0,0,False,0,2,17,3,False,False,False,False,0,False,0,2,0,0,0,0,36,0.0,1,0
105,21,1,0,0,0,0,False,0,1,13,2,False,False,False,False,0,False,0,2,0,0,0,0,15,0.0,1,0
106,16,0,0,0,0,0,False,0,0,9,1,False,False,False,False,0,False,0,1,0,0,0,0,12,0.0,1,0
107,50,20,0,1,0,1,False,0,2,16,3,False,False,False,False,0,False,0,2,0,0,0,0,39,0.0,1,0
108,24,1,0,0,0,0,False,0,1,16,2,False,False,False,False,0,False,0,2,0,0,0,0,18,0.0,1,0
109,32,0,0,0,0,0,False,0,0,25,2,False,False,False,False,0,False,0,2,0,0,0,0,27,0.0,1,0
110,28,0,0,0,0,0,False,0,0,21,3,False,False,False,False,0,False,0,3,0,0,0,0,22,0.0,1,0
111,47,22,0,0,0,0,False,0,2,18,3,False,False,False,False,0,False,0,2,0,0,0,0,38,0.0,1,0
112,33,1,0,0,0,0,False,0,1,25,2,False,False,False,False,0,False,0,2,0,0,0,0,27,0.0,1,0
113,74,20,0,10,1,0,False,0,3,23,3,False,False,False,False,0,False,0,3,0,1,0,0,49,0.0,1,0
114,42,18,0,5,0,0,False,0,2,17,3,False,False,False,False,0,False,0,2,0,1,0,0,29,0.0,1,0
115,25,0,0,0,0,0,False,0,0,18,2,False,False,False,False,0,False,0,2,0,0,0,0,20,0.0,1,0
116,34,8,0,2,0,0,False,0,2,19,4,False,False,False,False,0,False,0,4,0,0,0,0,23,0.0,1,0
117,29,0,0,0,0,0,False,0,0,22,2,False,False,False,False,0,False,0,2,0,0,0,0,24,0.0,1,0
118,34,1,0,0,0,0,False,0,1,26,3,False,False,False,False,0,False,0,3,0,0,0,0,27,0.0,1,0
119,50,27,0,0,0,0,False,0,2,16,2,False,False,False,False,0,False,0,2,0,0,0,0,40,0.0,1,0
120,43,19,0,2,0,0,False,0,2,17,3,False,False,False,False,0,False,0,2,0,0,0,0,33,0.0,1,0
121,24,1,0,0,0,0,False,0,1,16,2,False,False,False,False,0,False,1,2,0,0,0,0,18,0.0,1,0
122,51,23,0,0,0,0,False,0,2,21,3,False,False,False,False,1,False,0,2,0,0,0,0,42,0.0,1,0
123,23,0,0,0,0,0,False,0,0,16,2,False,False,False,False,0,False,0,2,0,0,0,0,18,0.0,1,0
124,58,27,0,0,0,0,False,0,3,24,3,False,False,False,False,0,False,0,3,0,0,0,0,49,0.0,1,0
125,34,1,0,0,0,0,False,0,1,26,2,False,False,False,False,0,False,0,2,0,0,0,0,28,0.0,1,0
126,40,1,0,0,0,0,False,0,1,32,3,False,False,False,False,0,False,0,3,0,0,0,0,33,0.0,1,0
127,67,44,0,0,0,0,False,0,4,16,4,False,False,False,False,0,False,0,3,0,0,0,0,53,0.0,1,0
128,30,1,0,0,0,0,False,0,1,22,3,False,False,False,False,0,False,0,3,0,0,0,0,23,0.0,1,0
129,33,13,0,0,0,0,False,0,1,13,3,False,False,False,False,0,False,0,2,0,0,0,0,26,0.0,1,0
130,36,13,0,4,0,0,False,0,2,16,2,False,False,False,False,0,False,0,2,0,3,0,0,25,0.0,1,0
131,22,1,0,0,0,0,False,0,1,14,2,False,False,False,False,0,False,0,2,0,0,0,0,16,0.0,1,0
132,35,6,0,0,0,0,False,0,1,22,2,False,False,False,False,0,False,0,2,0,0,0,0,29,0.0,1,0
133,101,49,0,5,2,0,False,0,3,18,3,False,False,False,False,0,False,0,2,0,0,0,0,81,0.0,1,0
134,28,0,0,0,0,0,False,0,0,21,3,False,False,False,False,0,False,0,3,0,0,0,0,22,0.0,1,0
135,32,13,0,0,0,0,False,0,2,12,3,False,False,False,False,0,False,0,2,0,0,0,0,24,0.0,1,0
136,23,0,0,0,0,0,False,0,0,16,1,False,False,False,False,0,False,0,1,0,0,0,0,19,0.0,1,0
137,51,22,0,4,1,0,False,0,3,13,4,False,False,False,False,0,False,0,3,0,0,0,0,35,0.0,1,0
138,46,26,0,6,0,0,False,0,2,13,3,False,False,False,False,0,False,0,2,0,1,0,0,32,0.0,1,0
139,23,1,0,0,0,0,False,0,1,15,2,False,False,False,False,0,False,0,2,0,0,0,0,17,0.0,1,0
140,21,0,0,0,0,0,False,0,0,14,2,False,False,False,False,0,False,0,2,0,0,0,0,16,0.0,1,0
141,26,0,0,0,0,0,False,0,0,19,2,False,False,False,False,0,False,0,2,0,0,0,0,21,0.0,1,0
142,50,21,0,0,0,0,False,0,2,22,3,False,False,False,False,1,False,0,2,0,0,0,0,41,0.0,1,0
143,23,0,0,0,0,0,False,0,0,16,2,False,False,False,False,0,False,0,2,0,0,0,0,18,0.0,1,0
144,28,1,0,0,0,0,False,0,1,20,2,False,False,False,False,0,False,0,2,0,0,0,0,22,0.0,1,0
145,31,1,0,0,0,0,False,0,1,23,2,False,False,False,False,1,False,0,2,0,0,0,0,24,0.0,1,0
146,30,0,0,0,0,0,False,0,0,23,2,False,False,False,False,0,False,0,2,0,0,0,0,25,0.0,1,0
147,25,7,0,4,0,0,False,0,2,11,2,False,False,False,False,0,False,0,2,0,1,0,0,14,0.0,1,0
148,24,1,0,0,0,0,False,0,1,16,2,False,False,False,False,0,False,0,2,0,0,0,0,18,0.0,1,0
149,31,1,0,0,0,0,False,0,1,23,2,False,False,False,False,0,False,0,2,0,0,0,0,25,0.0,1,0
150,30,1,0,0,0,0,False,0,1,22,3,False,False,False,False,1,False,0,3,0,0,0,0,22,0.0,1,0
151,37,13,0,0,0,0,False,0,1,17,3,False,False,False,False,0,False,0,2,0,0,0,0,30,0.0,1,0
152,58,29,0,0,0,0,False,0,4,22,2,False,False,False,False,0,False,0,2,0,0,0,0,48,0.0,1,0
153,37,9,0,0,0,0,False,0,2,21,2,False,False,False,False,0,False,0,2,0,0,0,0,30,0.0,1,0
154,25,1,0,0,0,0,False,0,1,17,2,False,False,False,False,0,False,0,2,0,0,0,0,19,0.0,1,0
155,26,0,0,0,0,0,False,0,0,19,1,False,False,False,False,0,False,0,1,0,0,0,0,22,0.0,1,0
156,43,1,0,0,0,0,False,0,1,35,2,False,False,False,False,0,False,0,2,0,0,0,0,37,0.0,1,0
157,36,13,0,0,0,0,False,0,1,16,3,False,False,False,False,0,False,0,2,0,0,0,0,29,0.0,1,0
158,52,29,0,6,0,0,False,0,4,16,3,False,False,False,False,0,False,0,2,0,0,0,0,36,0.0,1,0
159,92,14,0,6,3,0,False,0,2,15,4,False,False,False,False,0,False,0,3,0,1,0,0,69,0.0,1,0
160,40,4,0,2,1,0,False,0,1,13,2,False,False,False,False,0,False,0,2,0,0,0,0,30,0.0,1,0
